folder,material,alkaline_earth,boron_family,halogen,qtd_atoms,volume,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma,space_group,etotal,Hf,Hf_per_atom,PDEntry,bandgap,direct,transition,e_above_hull
MgGa2F6,MgGa2F6,Mg,Ga,F,1.0,116.06763642056852,5.282770881928212,5.282770881928212,5.521071370274529,60.21881069975081,60.21881069975081,75.90238313632466,12,-41.59413263,-26.545339943999995,-2.9494822159999994,PDEntry : Mg1 F6 Ga2 with energy = -41.5941,3.3787000000000003,False,"(-0.400,0.200,0.500)-(0.400,0.400,0.500)",0.0687123003703709
MgGa2F8,MgGa2F8,Mg,Ga,F,2.0,243.36869015073952,6.339733580759864,6.339733580759864,6.822505727658276,87.40006415582188,87.40006415582188,117.01514324904934,15,-104.00598419,-67.514986468,-3.0688630212727275,PDEntry : Mg2 Ga4 F16 with energy = -104.0060,5.3229,True,"(0.000,0.000,0.000)-(0.000,0.000,0.000)",0.0
MgGa2I10,Mg(GaI5)2,Mg,Ga,I,1.0,745.8066400270508,9.141274837710212,9.141274837710212,10.799818079564991,65.86775905976204,65.86775905976204,86.34084973220763,5,-28.53284225,-7.842087638999999,-0.6032375106923076,PDEntry : Mg1 Ga2 I10 (MgGa2I10) with energy = -28.5328,0.9844,False,"(0.000,0.000,0.000)-(0.000,0.000,0.333)",0.0767491488461526
MgGa2I6,Mg(GaI3)2,Mg,Ga,I,1.0,371.9088437203199,8.788137886541902,8.788137886541898,8.612412754279637,48.721212752563176,48.72121275256316,59.017981062304415,12,-19.8032716,-5.205349168999998,-0.5783721298888886,PDEntry : Mg1 I6 Ga2 (MgGa2I6) with energy = -19.8033,0.0,False,,0.2499794710493823
MgGa3,MgGa3,Mg,Ga,,3.0,74.06976040542787,4.199655308171426,4.199655308171426,4.199655308171426,90.0,90.0,90.0,221,-10.56706889,-2.863912549000001,-0.7159781372500003,PDEntry : Ga3 Mg1 with energy = -10.5671,0.0,False,,0.0205192218749998
MgGa3Br,MgGa3Br,Mg,Ga,Br,1.0,172.31105842680992,5.564648244734912,5.564648244734912,5.564648244734912,90.0,90.0,90.0,221,-9.86532968,-0.5196946215000011,-0.1039389243000002,PDEntry : Mg1 Br1 Ga3 with energy = -9.8653,0.0,False,,0.8409048845000007
MgGa3Br6,Mg(GaBr2)3,Mg,Ga,Br,6.0,297.05923529358574,7.523636951831194,7.523636951831196,7.367917526832465,60.88514723060319,60.88514723060319,92.1521584584135,12,-27.6367864,-10.078757753999998,-1.0078757753999998,PDEntry : Br6 Mg1 Ga3 (MgGa3Br6) with energy = -27.6368,0.0,False,,0.1369448425000015
MgGa3Cl,MgGa3Cl,Mg,Ga,Cl,1.0,147.43620258746995,5.282847152406704,5.282847152406704,5.282847152406704,90.0,90.0,90.0,221,-10.88642867,-1.5030431690000017,-0.3006086338000003,PDEntry : Mg1 Cl1 Ga3 with energy = -10.8864,0.0,False,,0.8371415192499989
MgGa3Cl6,Mg(GaCl2)3,Mg,Ga,Cl,6.0,265.847055648188,7.213532183422478,7.213532183422479,7.187190832682718,60.075223316344456,60.07522331634444,89.64652300364033,71,-31.20933076,-13.424799459,-1.3424799459,PDEntry : Cl6 Mg1 Ga3 (MgGa3Cl6) with energy = -31.2093,0.0,False,,0.1797248257500006
MgGa3F,MgGa3F,Mg,Ga,F,1.0,99.87300860454052,4.639623195170158,4.639623195170157,4.639623195170158,90.0,90.0,90.0,221,-14.028688,-4.727178571500001,-0.9454357143000004,PDEntry : F1 Ga3 Mg1 with energy = -14.0287,0.0,False,,0.5462171291666666
MgGa3I,MgGa3I,Mg,Ga,I,1.0,209.2368426039145,5.936712978107004,5.936712978107004,5.936712978107004,90.0,90.0,90.0,221,-8.67420246,0.5521619260000001,0.1104323852,PDEntry : I1 Ga3 Mg1 with energy = -8.6742,0.0,False,,0.9174596173000004
MgGa5,MgGa5,Mg,Ga,,5.0,114.66749324787702,5.608361539095244,5.608289232720273,5.8498645404485154,123.174729904605,56.83397995494783,128.28346255946138,5,-16.26550141,-4.073380708999999,-0.678896784833333,PDEntry : Ga5 Mg1 with energy = -16.2655,0.0,False,,0.032101454583334
MgGa6,MgGa6,Mg,Ga,,48.0,1085.149927791382,10.309888944915413,10.309888944915413,10.208975049188457,90.05292163621236,89.94707836378764,89.9973869789413,138,-152.0717452,-36.57892215200002,-0.6531950384285717,PDEntry : Ga48 Mg8 with energy = -152.0717,0.0,False,,0.0505177382142854
